Id,Prediction
476,5
477,6
478,8
479,1
480,6
481,6
482,4
483,0
484,1
485,4
486,3
487,6
488,9
489,6
490,8
491,1
492,6
493,7
494,8
495,3
496,8
497,1
498,6
499,7
500,4
501,4
502,7
503,9
504,1
505,4
506,8
507,6
508,4
509,6
510,1
511,6
512,2
513,8
514,6
515,9
516,7
517,9
518,3
519,2
520,4
521,4
522,4
523,7
524,6
525,5
526,6
527,5
528,2
529,1
530,2
531,6
532,6
533,6
534,3
535,7
536,7
537,9
538,3
539,4
540,1
541,6
542,9
543,4
544,4
545,6
546,2
547,9
548,4
549,8
550,7
551,7
552,6
553,4
554,0
555,8
556,1
557,3
558,1
559,9
560,0
561,6
562,8
563,9
564,5
565,8
566,3
567,9
568,0
569,6
570,6
571,2
572,4
573,4
574,2
575,9
576,8
577,4
578,6
579,6
580,5
581,0
582,0
583,6
584,6
585,6
586,6
587,0
588,9
589,8
590,9
591,2
592,4
593,6
594,6
595,5
596,5
597,4
598,4
599,5
600,8
601,9
602,1
603,5
604,4
605,4
606,8
607,7
608,3
609,9
610,6
611,6
612,9
613,3
614,0
615,5
616,8
617,8
618,4
619,4
620,4
621,6
622,3
623,8
624,1
625,1
626,6
627,4
628,7
629,0
630,8
631,6
632,2
633,6
634,1
635,9
636,1
637,6
638,0
639,7
640,2
641,9
642,4
643,6
644,9
645,8
646,6
647,6
648,8
649,9
650,7
651,6
652,4
653,8
654,6
655,6
656,6
657,1
658,1
659,6
660,0
661,6
662,6
663,7
664,5
665,1
666,9
667,4
668,8
669,7
670,2
671,1
672,4
673,2
674,1
675,7
676,5
677,7
678,6
679,4
680,6
681,0
682,0
683,0
684,9
685,6
686,6
687,2
688,7
689,8
690,1
691,3
692,4
693,7
694,1
695,1
696,8
697,4
698,9
699,0
700,2
701,0
702,6
703,4
704,4
705,9
706,5
707,4
708,1
709,5
710,5
711,5
712,6
713,4
714,3
715,9
716,0
717,7
718,4
719,4
720,4
721,6
722,8
723,4
724,1
725,9
726,9
727,9
728,2
729,4
730,6
731,8
732,9
733,6
734,6
735,8
736,7
737,0
738,6
739,2
740,1
741,8
742,5
743,7
744,8
745,6
746,9
747,9
748,5
749,3
750,8
751,4
752,9
753,1
754,0
755,4
756,5
757,9
758,5
759,1
760,7
761,0
762,1
763,4
764,1
765,6
766,5
767,8
768,9
769,2
770,0
771,7
772,3
773,0
774,0
775,9
776,9
777,4
778,6
779,0
780,6
781,6
782,6
783,6
784,1
785,2
786,5
787,9
788,6
789,7
790,6
791,0
792,1
793,6
794,8
795,6
796,4
797,5
798,0
799,4
800,4
801,9
802,8
803,9
804,6
805,6
806,6
807,8
808,0
809,4
810,4
811,8
812,3
813,8
814,6
815,8
816,7
817,8
818,6
819,0
820,6
821,9
822,6
823,6
824,6
825,6
826,1
827,7
828,5
829,8
830,6
831,5
832,4
833,0
834,3
835,5
836,4
837,7
838,1
839,9
840,0
841,4
842,4
843,6
844,2
845,6
846,8
847,4
848,6
849,0
850,6
851,6
852,7
853,1
854,9
855,3
856,3
857,4
858,0
859,4
860,0
861,5
862,8
863,1
864,4
865,6
866,0
867,8
868,4
869,3
870,8
871,6
872,6
873,7
874,9
875,7
876,4
877,4
878,7
879,5
880,6
881,4
882,5
883,1
884,6
885,6
886,4
887,2
888,6
889,2
890,6
891,5
892,6
893,4
894,8
895,6
896,9
897,7
898,1
899,2
900,0
901,1
902,9
903,8
904,9
905,7
906,6
907,8
908,9
909,4
910,7
911,6
912,9
913,1
914,1
915,1
916,8
917,0
918,4
919,5
920,6
921,3
922,6
923,0
924,9
925,2
926,8
927,4
928,1
929,6
930,4
931,6
932,4
933,6
934,9
935,1
936,6
937,1
938,6
939,3
940,4
941,0
942,3
943,6
944,8
945,6
946,8
947,6
948,4
949,4
950,4
951,1
952,1
953,4
954,6
955,4
956,5
957,4
958,8
959,4
960,4
961,7
962,8
963,6
964,6
965,7
966,9
967,1
968,8
969,6
970,6
971,2
972,3
973,8
974,7
975,4
976,0
977,6
978,0
979,6
980,5
981,1
982,4
983,6
984,1
985,4
986,4
987,4
988,6
989,5
990,8
991,1
992,6
993,6
994,3
995,5
996,0
997,1
998,7
999,4
1000,6
1001,3
1002,6
1003,2
1004,6
1005,2
1006,6
1007,0
1008,9
1009,4
1010,9
1011,6
1012,4
1013,9
1014,8
1015,4
1016,8
1017,5
1018,8
1019,5
1020,8
1021,6
1022,1
1023,3
1024,8
1025,8
1026,8
1027,6
1028,6
1029,8
1030,6
1031,4
1032,8
1033,2
1034,6
1035,4
1036,9
1037,4
1038,4
1039,8
1040,3
1041,2
1042,7
1043,4
1044,1
1045,1
1046,8
1047,5
1048,1
1049,8
1050,9
1051,4
1052,9
1053,8
1054,4
1055,8
1056,9
1057,4
1058,4
1059,6
1060,8
1061,6
1062,4
1063,8
1064,8
1065,5
1066,1
1067,4
1068,0
1069,6
1070,8
1071,4
1072,7
1073,8
1074,3
1075,4
1076,6
1077,2
1078,0
1079,6
1080,5
1081,4
1082,3
1083,0
1084,8
1085,9
1086,0
1087,0
1088,4
1089,9
1090,7
1091,7
1092,1
1093,6
1094,7
1095,6
1096,3
1097,8
1098,3
1099,8
1100,6
1101,6
1102,6
1103,6
1104,8
1105,6
1106,9
1107,1
1108,6
1109,9
1110,6
1111,5
1112,4
1113,4
1114,8
1115,0
1116,6
1117,6
1118,5
1119,9
1120,6
1121,6
1122,4
1123,1
1124,6
1125,8
1126,4
1127,8
1128,8
1129,8
1130,6
1131,4
1132,9
1133,4
1134,5
1135,2
1136,7
1137,6
1138,8
1139,9
1140,6
1141,1
1142,6
1143,6
1144,0
1145,4
1146,4
1147,5
1148,4
1149,2
1150,4
1151,9
1152,4
1153,0
1154,8
1155,6
1156,8
1157,8
1158,8
1159,4
1160,6
1161,5
1162,7
1163,8
1164,6
1165,6
1166,9
1167,6
1168,2
1169,9
1170,6
1171,6
1172,4
1173,9
1174,1
1175,4
1176,4
1177,5
1178,6
1179,6
1180,3
1181,1
1182,6
1183,3
1184,6
1185,6
1186,6
1187,4
1188,9
1189,1
1190,6
1191,9
1192,2
1193,8
1194,8
1195,4
1196,1
1197,5
1198,4
1199,9
1200,9
1201,6
1202,1
1203,8
1204,9
1205,1
1206,6
1207,2
1208,6
1209,9
1210,8
1211,7
1212,3
1213,7
1214,9
1215,1
1216,7
1217,6
1218,4
1219,9
1220,4
1221,5
1222,9
1223,9
1224,4
1225,6
1226,9
1227,6
1228,7
1229,5
1230,9
1231,1
1232,7
1233,6
1234,8
1235,8
1236,1
1237,1
1238,4
1239,7
1240,0
1241,3
1242,9
1243,4
1244,6
1245,5
1246,4
1247,5
1248,4
1249,0
1250,7
1251,4
1252,7
1253,6
1254,6
1255,5
1256,6
1257,2
1258,8
1259,6
1260,8
1261,0
1262,8
1263,0
1264,0
1265,1
1266,6
1267,3
1268,1
1269,0
1270,6
1271,9
1272,8
1273,7
1274,7
1275,8
1276,8
1277,8
1278,4
1279,5
1280,9
1281,1
1282,4
1283,4
1284,4
1285,4
1286,6
1287,6
1288,8
1289,6
1290,4
1291,6
1292,6
1293,7
1294,1
1295,6
1296,4
1297,5
1298,6
1299,0
1300,8
1301,8
1302,6
1303,4
1304,6
1305,0
1306,9
1307,4
1308,8
1309,0
1310,6
1311,8
1312,4
1313,6
1314,2
1315,6
1316,9
1317,4
1318,2
1319,6
1320,7
1321,4
1322,1
1323,4
1324,1
1325,4
1326,8
1327,6
1328,0
1329,6
1330,6
1331,0
1332,3
1333,6
1334,6
1335,6
1336,0
1337,8
1338,9
1339,4
1340,1
1341,8
1342,7
1343,1
1344,5
1345,1
1346,0
1347,4
1348,8
1349,1
1350,9
1351,9
1352,8
1353,2
1354,1
1355,8
1356,6
1357,8
1358,0
1359,5
1360,8
1361,5
1362,0
1363,2
1364,2
1365,2
1366,8
1367,6
1368,3
1369,1
1370,3
1371,6
1372,6
1373,8
1374,4
1375,9
1376,4
1377,1
1378,6
1379,6
1380,6
1381,9
1382,2
1383,7
1384,7
1385,4
1386,7
1387,5
1388,6
1389,1
1390,8
1391,3
1392,6
1393,2
1394,8
1395,9
1396,4
1397,6
1398,0
1399,4
1400,8
1401,4
1402,6
1403,6
1404,6
1405,4
1406,1
1407,6
1408,9
1409,7
1410,0
1411,9
1412,6
1413,9
1414,4
1415,8
1416,6
1417,1
1418,9
1419,6
1420,4
1421,6
1422,5
1423,9
1424,2
1425,3
1426,8
1427,1
1428,2
1429,0
1430,2
1431,0
1432,6
1433,8
1434,8
1435,8
1436,6
1437,4
1438,9
1439,4
1440,6
1441,7
1442,6
1443,0
1444,7
1445,4
1446,4
1447,9
1448,9
1449,8
1450,6
1451,0
1452,8
1453,1
1454,6
1455,6
1456,1
1457,6
1458,8
1459,7
1460,6
1461,8
1462,0
1463,6
1464,0
1465,6
1466,6
1467,5
1468,5
1469,0
1470,4
1471,9
1472,0
1473,2
1474,6
1475,3
1476,1
1477,1
1478,1
1479,5
1480,6
1481,5
1482,4
1483,6
1484,4
1485,4
1486,4
1487,6
1488,2
1489,4
1490,4
1491,6
1492,6
1493,4
1494,5
1495,6
1496,0
1497,8
1498,4
1499,1
1500,4
1501,9
1502,3
1503,6
1504,0
1505,1
1506,0
1507,3
1508,4
1509,6
1510,9
1511,4
1512,8
1513,4
1514,6
1515,2
1516,9
1517,0
1518,8
1519,4
1520,9
1521,1
1522,3
1523,1
1524,9
1525,7
1526,1
1527,1
1528,8
1529,1
1530,4
1531,0
1532,9
1533,9
1534,1
1535,3
1536,0
1537,5
1538,6
1539,5
1540,8
1541,8
1542,1
1543,6
1544,2
1545,4
1546,0
1547,8
1548,2
1549,1
1550,8
1551,4
1552,4
1553,8
1554,4
1555,4
1556,2
1557,1
1558,9
1559,2
1560,4
1561,5
1562,2
1563,4
1564,0
1565,8
1566,4
1567,8
1568,7
1569,5
1570,6
1571,6
1572,4
1573,1
1574,0
1575,4
1576,9
1577,0
1578,4
1579,6
1580,6
1581,1
1582,1
1583,5
1584,0
1585,7
1586,5
1587,1
1588,9
1589,9
1590,8
1591,1
1592,8
1593,7
1594,0
1595,6
1596,6
1597,7
1598,3
1599,9
1600,6
1601,6
1602,0
1603,6
1604,9
1605,4
1606,1
1607,5
1608,6
1609,2
1610,5
1611,6
1612,8
1613,9
1614,6
1615,9
1616,9
1617,9
1618,0
1619,8
1620,0
1621,6
1622,8
1623,7
1624,7
1625,0
1626,6
1627,8
1628,9
1629,4
1630,0
1631,4
1632,8
1633,3
1634,6
1635,9
1636,4
1637,8
1638,2
1639,8
1640,0
1641,4
1642,0
1643,4
1644,4
1645,7
1646,5
1647,9
1648,4
1649,6
1650,8
1651,2
1652,9
1653,6
1654,4
1655,1
1656,0
1657,5
1658,6
1659,5
1660,9
1661,6
1662,6
1663,4
1664,6
1665,4
1666,6
1667,6
1668,4
1669,4
1670,8
1671,0
1672,0
1673,4
1674,6
1675,6
1676,6
1677,7
1678,0
1679,2
1680,6
1681,7
1682,1
1683,5
1684,6
1685,4
1686,4
1687,6
1688,6
1689,9
1690,4
1691,6
1692,0
1693,8
1694,6
1695,4
1696,9
1697,6
1698,4
1699,6
1700,4
1701,3
1702,7
1703,7
1704,4
1705,4
1706,5
1707,4
1708,8
1709,8
1710,4
1711,9
1712,1
1713,9
1714,7
1715,7
1716,6
1717,9
1718,6
1719,7
1720,0
1721,4
1722,0
1723,6
1724,5
1725,5
1726,4
1727,1
1728,9
1729,4
1730,7
1731,4
1732,0
1733,2
1734,6
1735,3
1736,1
1737,0
1738,2
1739,8
1740,8
1741,6
1742,9
1743,8
1744,9
1745,6
1746,8
1747,0
1748,4
1749,9
1750,6
1751,5
1752,2
1753,0
1754,4
1755,2
1756,6
1757,6
1758,7
1759,0
1760,2
1761,7
1762,8
1763,6
1764,8
1765,6
1766,8
1767,8
1768,7
1769,5
1770,6
1771,1
1772,4
1773,9
1774,6
1775,3
1776,0
1777,6
1778,9
1779,5
1780,2
1781,9
1782,6
1783,6
1784,2
1785,9
1786,7
1787,7
1788,1
1789,6
1790,9
1791,4
1792,0
1793,4
1794,2
1795,3
1796,1
1797,8
1798,6
1799,1
1800,6
1801,4
1802,8
1803,0
1804,0
1805,7
1806,5
1807,4
1808,6
1809,7
1810,9
1811,8
1812,4
1813,6
1814,4
1815,8
1816,4
1817,6
1818,5
1819,4
1820,2
1821,8
1822,1
1823,8
1824,8
1825,6
1826,4
1827,2
1828,8
1829,7
1830,9
1831,6
1832,9
1833,1
1834,4
1835,1
1836,4
1837,5
1838,4
1839,2
1840,9
1841,4
1842,6
1843,4
1844,4
1845,6
1846,6
1847,2
1848,7
1849,4
1850,9
1851,2
1852,3
1853,6
1854,4
1855,6
1856,4
1857,8
1858,6
1859,7
1860,2
1861,2
1862,9
1863,0
1864,6
1865,0
1866,1
1867,6
1868,0
1869,1
1870,8
1871,4
1872,2
1873,6
1874,1
1875,7
1876,7
1877,4
1878,6
1879,8
1880,6
1881,4
1882,1
1883,4
1884,4
1885,8
1886,8
1887,5
1888,7
1889,4
1890,2
1891,7
1892,8
1893,2
1894,6
1895,0
1896,9
1897,8
1898,0
1899,7
1900,8
1901,9
1902,4
1903,2
1904,9
1905,4
1906,8
1907,7
1908,7
1909,6
1910,6
1911,9
1912,9
1913,6
1914,6
1915,4
1916,8
1917,6
1918,9
1919,9
1920,5
1921,2
1922,4
1923,6
1924,3
1925,8
1926,6
1927,4
1928,8
1929,6
1930,6
1931,4
1932,6
1933,4
1934,4
1935,6
1936,8
1937,9
1938,4
1939,0
1940,4
1941,9
1942,2
1943,9
1944,5
1945,1
1946,5
1947,4
1948,5
1949,8
1950,6
1951,2
1952,6
1953,8
1954,6
1955,9
1956,2
1957,8
1958,2
1959,6
1960,4
1961,9
1962,7
1963,8
1964,9
1965,6
1966,6
1967,3
1968,6
1969,6
1970,7
1971,9
1972,7
1973,6
1974,6
1975,6
1976,9
1977,1
1978,2
1979,4
1980,2
1981,5
1982,1
1983,2
1984,8
1985,6
1986,6
1987,6
1988,6
1989,2
1990,5
1991,6
1992,4
1993,4
1994,9
1995,3
1996,9
1997,8
1998,6
1999,4
2000,4
